Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2012,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,39538.4,0,16.359,215.14,0,0,0,,39770,39770,39770,SAI Global
2013,1023,Cascades Canada ULC.,"Norampac Trenton, a Division of Cascades Canada ULC.",Trenton,322130,38580.03,38065.88,271.761,713.31,0,0,0,,77631,39565,39565,Enviro-Access Inc.
2013,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,40819.5,0,16.884,222.27,0,0,0,,41059,41059,41059,SAI Global
2014,1023,Cascades Canada ULC.,"Norampac Trenton, a Division of Cascades Canada ULC.",Trenton,322130,39081.11,30361.36,220.206,614.11,0,0,0,,70277,39915,39915,Enviro-Access Inc.
2014,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,40674.7,0,16.821,221.34,0,0,0,,40913,40913,40913,Conestoga-Rovers & Associates Limited (CRA)
2015,1023,Cascades Canada ULC.,"Norampac Trenton, a Division of Cascades Canada ULC.",Trenton,322130,45368.08,20143.3,154.14,513.36,0,0,0,0,66179,46035,46035,Tetra Tech QI Inc.
2015,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,41316.8,0,17.094,225.06,0,0,0,0,41559,41559,41559,GHD Limited (formerly CRA)
2016,1023,Cascades Canada ULC.,"Cascades Containerboard Packaging, A Division of Cascades Canada ULC.",Trenton,322130,55440.63,0,22.05,291.4,0,29.2905,0,0,55784,55784,55784,Tetra Tech QI Inc.
2016,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,41794.2,0,17.283,227.54,0,0,0,0,42040,42040,42040,GHD Limited (formerly CRA)
2017,1023,Cascades Canada ULC,"Cascades Containerboard Packaging, A Division of Cascades Canada ULC.",Trenton,322130,56687.39,0,22.68,298.22,0,31.911,0,0,57531,57531,57531,Tetra tech
2017,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,42457,0,17.556,231.26,0,0,0,0,42706,42706,42706,GHD Limited
2018,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,38080.4,0,15.75,207.08,0,0,0,0,38304,38304,38304,GHD Limited
2018,1023,Cascades Canada ULC,"Cascades Containerboard Packaging, A Division of Cascades Canada ULC.",Trenton,322130,57297.4,0,23.0706,303.583,0,12.4335,0,0,57637,57637,57637,Ernst & Young LLP
2010,1010,Capital Power Income L.P.,Tunis Power Plant,Tunis,221112,109200,0,598,883,0,0,0,,110682,110682,,
2011,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,97309.84,0,533.0705,793.6815,0,0,0,,98637,98637,98637,Stantec Consulting Ltd.
2012,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,146570,0,802.9214,1195.4587,0,0,0,,148569,148569,148569,Stantec Consulting Ltd.
2013,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,126397,0,692.4147,1022.136,0,0,0,,128112,128112,128112,Conestoga-Rovers & Associates Limited (CRA)
2014,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,117566,0,644.028,950.77,0,0,0,,119161,119161,119161,Conestoga-Rovers & Associates Limited (CRA)
2015,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,149.84,0,0.8209,1.2121,0,0,0,0,152,152,152,GHD Limited (formerly CRA)
2016,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,282.54,0,1.554,2.17,0,0,0,0,287,287,287,GHD Limited (formerly CRA)
2017,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,282.5403,0,0.1176,1.55,0,0,0,0,285,285,285,GHD Limited
2018,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,465.05,0,0.189,2.48,0,0,0,0,468,468,468,
2010,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,7361,144128,647,961,0,0,0,,153097,8969,,
2011,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,18208,137659,679.35,882.88,0,0,0,,157430,19771,19771,Stantec Consulting Ltd.
2012,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,30139.2,117764,660.66,988.9,0,0,0,,149553,31789,31789,Stantec Consulting Ltd.
2013,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,39485,76809,245.7,362.7,0,0,0,,116903,40094,40094,Stantec Consulting Ltd.
2014,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,36907.311,66725.262,254.1,372,0,0,0,,104259,37533,37533,Stantec Consulting Ltd.
2015,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,33666,45366,201.873,297.91,0,0,0,0,79532,34166,34166,Stantec Consulting Ltd.
2011,1112,Piller Sausages & Delicatessens Ltd.,"Piller's Fine Foods, A Div. of PBOLP",Waterloo,311614,0,0,0,0,0,0,0,,0,0,0,
2014,1176,University of Waterloo,University of Waterloo,Waterloo,611310,31152,0,12.978,181.412,0,0,0,0,31347,31347,31347,GHD Ltd.
2015,1176,University of Waterloo,University of Waterloo,Waterloo,611310,31117,0,12.978,181.35,0,0,0,0,31312,31312,31312,GHD Limited (formerly CRA)
2016,1176,University of Waterloo,University of Waterloo,Waterloo,611310,31263,0,13.02,181.97,0,0,0,0,31458,31458,31458,GHD Limited (formerly CRA)
2017,1176,University of Waterloo,University of Waterloo,Waterloo,611310,32973,0,13.6313,190.3803,0,0,0,0,33178,33178,33178,GHD Limited
2018,1176,University of Waterloo,University of Waterloo-GHG,Waterloo,611310,35586.3,0,14.7221,205.5489,0,0,0,0,35807,35807,35807,GHD
2016,1237,ASW Steel Inc.,ASW Steel Inc.,Welland,331110,15224.5128,0,4.2798,56.327,0,0,0,0,15286,15286,15286,
2017,1237,ASW Steel Inc.,ASW Steel Inc.,Welland,331110,18307.3597,0,5.1219,67.394,0,0,0,0,18380,18380,18380,
2017,1266,Welded Tube of Canada Corp,Welded Tube (Q&T Plant),Welland,331210,12447.2005,0,5.1492,67.766,0,0,0,0,12521,12521,12521,
2018,1237,ASW Steel Inc.,ASW Steel Inc.,Welland,331110,16387.2226,0,4.7208,62.124,0,0,0,0,16455,16455,16455,
2018,1266,Welded Tube of Canada Corp,Welded Tube (Q&T Plant),Welland,331210,11548.8503,0,4.7775,62.868,0,0,0,0,11617,11617,11617,
2010,1055,Gerdau AmeriSteel Whitby,Gerdau AmeriSteel Whitby,Whitby,331110,83331,0,4,693,0,0,0,,84028,84028,,
2010,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,189252,0,294,1516,0,0,0,,191063,191063,,
2011,1055,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,331110,77502.819,0,22.638,298.22,0,0,0,,77824,77824,77824,Conestoga-Rovers & Associates Limited (CRA)
2011,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,203932,0,323,1663,0,0,0,,205918,205918,205918,Conestoga-Rovers & Associates Limited (CRA)
2012,1055,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,331110,78605.929,0,21.504,283.03,0,0,0,,78911,78911,78911,Conestoga-Rovers & Associates Limited (CRA)
2012,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,205793,0,325.899,1678.34,0,0,0,,207798,207798,207798,Conestoga-Rovers & Associates Limited (CRA)
2013,1055,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,331110,67022.846,0,22.281,445.78,0,0,0,,67491,67491,67491,Conestoga-Rovers & Associates Limited (CRA)
2013,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,207149,0,328.041,1689.19,0,0,0,,209167,209167,209167,Conestoga-Rovers & Associates Limited (CRA)
2014,1055,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,331110,90924.434,0,22.848,423.15,0,0,0,,91371,91371,91371,Conestoga-Rovers & Associates Limited (CRA)
2014,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,217129,0,343.854,1770.72,0,0,0,,219244,219244,219244,Conestoga-Rovers & Associates Limited (CRA)
2015,1055,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,331110,94710.823,0,26.523,546.53,0,0,0,0,95284,95284,95284,GHD Limited (formerly CRA)
2015,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,224100,0,354.879,1827.45,0,0,0,0,226283,226283,226283,GHD Limited (formerly CRA)
2016,1055,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,331110,79040.8525,0,20.2058,266.0528,0,0,0,0,79328,79328,79328,GHD Limited (formerly CRA)
2016,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,222200,0,351.876,1811.95,0,0,0,0,224364,224364,224364,GHD Limited (formerly CRA)
2016,1385,Atlantic Packaging Products Ltd.,Whitby,Whitby,322121,93994,0,1.1739,15.438,0,0,0,0,94011,2853,2853,GHD Limited (formerly CRA)
2017,1055,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,331110,99355.902,0,25.0887,330.1004,0,0,0,0,99712,99712,99712,Iternat Energy Solutions Canada
2017,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,218410,0,345.87,1780.95,0,0,0,0,220537,220537,220537,Stantec Consulting Ltd.
2017,1385,Atlantic Packaging Products Ltd.,Whitby,Whitby,322121,5025,37558,2.079,27.342,0,0,0,0,132750,5055,5055,GHD
2018,1055,Gerdau Ameristeel Corporation,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,331110,91155.692,0,24.7231,325.2892,0,0,0,0,91506,91506,91506,Internat Energy Solutions Canada
2018,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,219559,0,347.76,1791.8,0,0,0,0,221699,221699,221699,Stantec Consulting Ltd.
2018,1385,Atlantic Packaging Products Ltd.,Whitby,Whitby,322121,4610,64431,1.9068,25.11,0,0,0,0,69069,4638,4638,
2016,1372,Parmalat Canada Inc.,Winchester,Winchester,311515,22875.09,0,9.45,133.3,0,0,0,0,23018,23018,23018,GHD Limited (formerly CRA)
2017,1372,Parmalat Canada Inc.,Winchester,Winchester,311515,22736.3,0,9.408,131.13,0,0,0,0,22877,22877,22877,GHD
2018,1372,Parmalat Canada Inc.,Winchester,Winchester,311515,21391,0,8.841,116.56,0,0,0,0,21517,21517,21517,
2010,1001,ADM Agri-Industries,ADM Windsor,Windsor,311224,69652,0,29,395,0,0,0,,70077,70077,,
2010,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,233290,0,382,1968,0,0,0,,235640,235640,,
2010,1026,Chrysler Canada Inc.,Windsor Assembly Plant,Windsor,336110,37256,0,15,203,0,0,0,,37475,37475,,
2010,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,124285,0,681,1005,0,0,0,,125971,125971,,
2010,1051,Tractebel Canada Inc.,West Windsor Power,Windsor,221112,368214,0,2017,2978,0,0,0,,373210,373210,,
2010,1068,Hiram Walker & Sons,Walkerville,Windsor,312140,53853,0,22,295,0,0,0,,54170,54170,,
2010,1145,TransAlta Cogeneration LP,Windsor Essex Cogeneration Plant,Windsor,221112,207058,0,287,1608,0,0,0,,208953,208953,,
2010,1165,University of Windsor,University of Windsor,Windsor,611310,27038.3,0,11.13,155,0,0,0,,27205,27205,,
2011,1001,ADM Agri-Industries,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,68646.396,0,28.3926,373.5934,0,0,0,,69049,69049,69049,SGS- United Kingdom Ltd
2011,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,153117.1863,0,838.7883,1238.202,0,0,0,,155195,155195,155195,Conestoga-Rovers & Associates Limited (CRA)
2011,1026,Chrysler Canada Inc.,Windsor Assembly Plant,Windsor,336110,36547,0,15.12,199.02,0,0,0,,36762,36762,36762,Ernst & Young LLP
2011,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,139172.8,0,762.3,1125.3,0,0,0,,141061,141061,141061,NSF International
2011,1051,Tractebel Canada Inc.,West Windsor Power,Windsor,221112,394888.7869,0,2163.2268,3193.372,0,0,0,,400246,400246,400246,"DEKRA Certification, Inc."
2011,1068,Hiram Walker & Sons Ltd.,Walkerville,Windsor,312140,56175.29,0,23.31,306.9,0,0,0,,56506,56506,56506,Conestoga-Rovers & Associates Limited (CRA)
2011,1093,Nemak of Canada Corp.,WINDSOR ALUMINUM PLANT,Windsor,331529,29646,0,12.264,161.51,0,0,0,,29820,29820,29820,Conestoga-Rovers & Associates Limited (CRA)
2011,1145,TransAlta Generation Partnership,Windsor Essex Cogeneration Plant,Windsor,221112,197921,0,274.1025,1536.825,0,0,0,,199732,199732,199732,Ernst & Young LLP
2011,1165,University of Windsor,University of Windsor,Windsor,611310,27677.6,0,11.34,159.96,0,0,0,,27849,27849,27849,Conestoga-Rovers & Associates Limited (CRA)
2012,1001,ADM Agri-Industries,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,65970.209,0,27.3006,359.0234,0,0,0,,66357,66357,66357,SGS- United Kingdom Ltd
2012,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,101670,0,546,806,0,0,0,,103022,103022,103022,Conestoga-Rovers & Associates Limited (CRA)
2012,1026,Chrysler Canada Inc.,Windsor Assembly Plant,Windsor,336110,32786,0,13.566,178.56,0,0,0,,32979,32979,32979,Ernst & Young LLP
2012,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,100660.8,0,551.4275,814.0104,0,0,0,,102027,102027,102027,NSF International
2012,1051,GDF Suez Energy Canada Inc.,West Windsor Power,Windsor,221112,387914.6221,0,636.8544,3280.73,0,0,0,,391833,391833,391833,"DEKRA Certification, Inc."
2012,1068,Hiram Walker & Sons Ltd.,Walkerville,Windsor,312140,58094.83,0,23.94,316.2,0,0,0,,58435,58435,58435,Conestoga-Rovers & Associates Limited (CRA)
2012,1093,Nemak of Canada Corp.,WINDSOR ALUMINUM PLANT,Windsor,331529,24258,0,10.08,132.06,0,0,0,,24401,24401,24401,Conestoga-Rovers & Associates Limited (CRA)
2012,1145,TransAlta Generation Partnership,Windsor Essex Cogeneration Plant,Windsor,221112,197049.99,0,272.8971,1530.036,0,0,0,,198853,198853,198853,Ernst & Young LLP
2012,1165,University of Windsor,University of Windsor,Windsor,611310,25309.28,0,10.5,146.32,0,0,0,,25467,25467,25467,Conestoga-Rovers & Associates Limited (CRA)
2013,1001,ADM Agri-Industries,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,66453.569,0,27.489,361.77,0,0,0,,66843,66843,66843,SGS- United Kingdom Ltd
2013,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,50441.6,0,275.31,404.86,0,0,0,,51122,51122,51122,Conestoga-Rovers & Associates Limited (CRA)
2013,1026,Chrysler Canada Inc.,Windsor Assembly Plant,Windsor,336110,40211,0,16.632,219.17,0,0,0,,40447,40447,40447,Ernst & Young LLP
2013,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,54278.614,0,297.339,438.96,0,0,0,,55015,55015,55015,NSF International
2013,1051,GDF Suez Energy Canada Inc.,West Windsor Power,Windsor,221112,380046.97,0,623.8659,3213.801,0,0,0,,383885,383885,383885,RWDI AIR Inc.
2013,1068,Hiram Walker & Sons Ltd.,Walkerville,Windsor,312140,65048.33,0,26.88,353.4,0,0,0,,65429,65429,65429,Conestoga-Rovers & Associates Limited (CRA)
2013,1093,Nemak of Canada Corp.,WINDSOR ALUMINUM PLANT,Windsor,331529,20721,0,8.568,112.84,0,0,0,,20843,20843,20843,Conestoga-Rovers & Associates Limited (CRA)
2013,1145,TransAlta Generation Partnership,Windsor Essex Cogeneration Plant,Windsor,221112,189301.547,0,262.1661,1469.896,0,0,0,,191034,191034,191034,Ernst & Young LLP
2013,1165,University of Windsor,University of Windsor,Windsor,611310,23172,0,9.45,133.3,0,0,0,,23315,23315,23315,Conestoga-Rovers & Associates Limited (CRA)
2013,1225,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,Windsor,332810,28635,0,11.8474,155.881,0,0,0,0,28803,28803,28803,GHD Limited (formerly CRA)
2014,1001,ADM Agri-Industries Company,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,63406.7237,0,25.7586,342.705,0,0,0,,63776,63776,63776,Conestoga-Rovers & Associates Limited (CRA)
2014,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,95928.26,0,524.055,776.55,0,0,0,,97229,97229,97229,Conestoga-Rovers & Associates Limited (CRA)
2014,1026,FCA Canada Inc.,Windsor Assembly Plant,Windsor,336110,44643,0,18.48,242.73,0,0,0,,44905,44905,44905,Ernst & Young LLP
2014,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,68855.997,0,377.181,556.76,0,0,0,,69790,69790,69790,NSF International
2014,1051,GDF Suez Energy Canada Inc.,West Windsor Power,Windsor,221112,321483.4306,0,1761.1083,2599.753,0,0,0,,325845,325845,325845,RWDI AIR Inc.
2014,1068,Hiram Walker & Sons Ltd.,Walkerville,Windsor,312140,67580.62,0,27.93,368.9,0,0,0,,67978,67978,67978,RWDI AIR Inc.
2014,1093,Nemak of Canada Corp.,WINDSOR ALUMINUM PLANT,Windsor,331529,27961.95,0,11.571,152.21,0,0,0,,28126,28126,28126,Conestoga-Rovers & Associates Limited (CRA)
2014,1145,TransAlta Generation Partnership,Windsor Essex Cogeneration Plant,Windsor,221112,196126.5948,0,271.6182,1522.875,0,0,0,,197922,197922,197922,Ernst & Young LLP
2014,1165,University of Windsor,University of Windsor,Windsor,611310,25591,0,11.13,189.1,0,449.8,0,,26242,26242,26242,Conestoga-Rovers & Associates Limited (CRA)
2014,1225,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,Windsor,332810,29336.8942,0,12.138,159.7046,0,0,0,0,29509,29509,29509,GHD Limited (formerly CRA)
2015,1001,ADM Agri-Industies Company,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,68197.657,0,27.0333,365.087,0,0,0,0,68590,68590,68590,GHD Limited (formerly CRA)
2015,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,92307.92,0,504.504,745.24,0,0,0,0,93558,93558,93558,GHD Limited (formerly CRA)
2015,1026,FCA Canada Inc.,Windsor Assembly Plant,Windsor,336110,38819,0,16.065,211.11,0,0,0,0,39047,39047,39047,RWDI AIR Inc.
2015,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,60799.742,0,333.0768,491.629,0,0,0,0,61625,61625,61625,NSF International
2015,1051,GDF Suez Energy Canada Inc.,West Windsor Power,Windsor,221112,439961,0,2410.1367,3557.8585,0,0,0,0,445929,445929,445929,RWDI AIR Inc.
2015,1068,Hiram Walker & Sons Ltd.,Walkerville,Windsor,312140,64044.29,0,27.3,347.2,0,0,0,0,64419,64419,64419,RWDI AIR Inc.
2015,1093,Nemak of Canada Corp.,WINDSOR ALUMINUM PLANT,Windsor,331529,31916,0,13.209,173.6,0,0,0,0,32103,32103,32103,GHD Limited (formerly CRA)
2015,1145,TransAlta Generation Partnership,Windsor Essex Cogeneration Plant,Windsor,221112,190977.986,0,264.495,1483.04,0,0,0,0,192726,192726,192726,Ernst & Young LLP
2015,1165,University of Windsor,University of Windsor,Windsor,611310,26750,0,115.71,235.6,0,479.7,0,0,27582,27582,27582,GHD Limited (formerly CRA)
2015,1208,Enwave Windsor Limited Partnership,Enwave Windsor Limited Parnership,Windsor,221330,12923.69,0,5.4852,83.514,0,0,0,0,13013,13013,13013,Internat Energy Solutions Canada Inc.
2015,1225,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,Windsor,332810,28906.2107,0,11.9599,157.36,0,0,0,0,29076,29076,29076,GHD Limited (formerly CRA)
2016,1001,ADM Agri-Industies Company,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,62464.8572,0,25.8447,340.039,0,0,0,0,62831,62831,62831,GHD Limited (formerly CRA)
2016,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,97112.49,0,530.6595,784.765,0,0,0,0,98428,98428,98428,GHD Limited (formerly CRA)
2016,1026,FCA Canada Inc.,Windsor Assembly Plant,Windsor,336110,44087.83,0,18.27,238.7,0,0,0,0,44345,44345,44345,RWDI AIR Inc.
2016,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,42418.509,0,232.365,343.17,0,0,0,0,42995,42995,42995,NSF-ISR
2016,1051,Engie Canada,West Windsor Power,Windsor,221112,186749.288,0,1023.015,1510.32,0,0,0,0,189283,189283,189283,RWDI AIR Inc.
2016,1068,Hiram Walker & Sons Ltd.,Walkerville,Windsor,312140,62887.06,0,26.04,341,0,0,0,0,63255,63255,63255,RWDI AIR Inc.
2016,1093,Nemak of Canada Corp.,WINDSOR ALUMINUM PLANT,Windsor,331529,29513,0,12.201,160.58,0,0,0,0,29686,29686,29686,GHD Limited (formerly CRA)
2016,1145,TransAlta Generation Partnership,Windsor Essex Cogeneration Plant,Windsor,221112,175881.7406,0,243.5807,1365.6833,0,0,0,0,177492,177492,177492,Ernst & Young LLP
2016,1165,University of Windsor,University of Windsor,Windsor,611310,18447.219,0,65.205,137.02,0,0,0,0,18650,18650,18650,GHD Limited (formerly CRA)
2016,1208,Enwave Windsor Limited Partnership,Enwave Windsor Limited Parnership,Windsor,221330,11717.302,0,4.9665,75.33,0,0,0,0,11798,11798,11798,Internat Energy Solutions Canada Inc.
2016,1225,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,ARCELORMITTAL WINDSOR A DIVISION OF ARCELORMITTAL DOFASCO G.P.,Windsor,332810,28698,0,11.8736,156.2251,0,0,0,0,28867,28867,28867,GHD Limited (formerly CRA)
2016,1384,K+S Windsor Salt Ltd.,Windsor Plant,Windsor,212393,21565,0,8.988,118.42,0,0,0,0,21693,21693,21693,GHD Limited (formerly CRA)
2017,1001,ADM Agri-Industies Company,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,64097.8545,0,26.5209,348.936,0,0,0,0,64474,64474,64474,GHD Limited
2017,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,49644.41,0,270.2826,400.675,0,0,0,0,50316,50316,50316,Internat Energy Solutions Canada
2017,1026,FCA Canada Inc.,FCA Canada Inc. - Windsor Assembly Plant,Windsor,336110,67420.95,0,27.93,365.8,0,0,0,0,67815,67815,67815,RWDI
2017,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,18958.734,0,103.845,153.45,0,0,0,0,19217,19217,19217,GHD Limited
